id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
24,"The ratio of income of A and B is 5 : 4 and the ratio of their expenditure is 3 : 2. If at the end of the year, each saves Rs. 1600, then the income of A is:","Rs. 3400","Rs. 3600","Rs. 4000","Rs. 4400","c","Moderate","Ratio and Proportion"
25,"A sum of money is to be distributed among A, B, C, D in the proportion of 5 : 2 : 4 : 3. If C gets Rs. 1000 more than D, what is B's share?","Rs. 500","Rs. 1500","Rs. 2000","None of these","c","Easy","Ratio and Proportion"
26,"A garrison of 500 men had provisions for 27 days. After 3 days, a reinforcement of 300 men arrived. For how many more days will the remaining food last now?","15 days","16 days","17.5 days","18 days","a","Difficult","Ratio and Proportion"
27,"A can contains a mixture of two liquids A and B in the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?","10","20","21","25","c","Difficult","Ratio and Proportion"
28,"Two vessels A and B contain milk and water mixed in the ratio 8 : 5 and 5 : 2 respectively. The ratio in which these two mixtures be mixed to get a new mixture containing 69 3/13 % milk is:","2 : 7","3 : 5","5 : 2","5 : 7","a","Difficult","Ratio and Proportion"
29,"The ratio of the ages of a father and his son is 4:1. The product of their ages is 196. What will be the ratio of their ages after 5 years?","11:4","11:6","12:5","13:7","b","Moderate","Ratio and Proportion"
30,"If Rs. 782 be divided into three parts, proportional to 1/2 : 2/3 : 3/4, then the first part is:","Rs. 182","Rs. 190","Rs. 196","Rs. 204","d","Moderate","Ratio and Proportion"
31,"A certain amount was divided between A and B in the ratio 4:3. If B's share was Rs. 4800, the total amount was:","Rs. 11200","Rs. 9600","Rs. 10800","Rs. 12400","a","Easy","Ratio and Proportion"
32,"The monthly salaries of two persons are in the ratio 4:7. If each receives an increase of Rs. 2500 in the salary, the ratio is altered to 3:5. Find the sum of their original salaries.","Rs. 11000","Rs. 12500","Rs. 13200","Rs. 14300","a","Moderate","Ratio and Proportion"
33,"If a, b, c are in continued proportion, then:","a^2 = bc","b^2 = ac","c^2 = ab","a = b = c","b","Very easy","Ratio and Proportion"
34,"A, B, and C enter into a partnership. A invests some money at the beginning, B invests double the amount after 6 months, and C invests thrice the amount after 8 months. If the annual profit be Rs. 27,000, C's share is:","Rs. 8625","Rs. 9000","Rs. 10,800","Rs. 11,250","b","Difficult","Ratio and Proportion"
35,"The speeds of three cars are in the ratio 2 : 3 : 4. The ratio between the time taken by these cars to travel the same distance is:","2 : 3 : 4","4 : 3 : 2","4 : 3 : 6","6 : 4 : 3","d","Easy","Ratio and Proportion"
36,"An amount of Rs. 2430 is divided among A, B and C such that if their shares be reduced by Rs. 5, Rs. 10 and Rs. 15 respectively, the remainders are in the ratio 3 : 4 : 5. Then B's share was:","Rs. 605","Rs. 790","Rs. 810","Rs. 800","c","Difficult","Ratio and Proportion"
37,"If 18 pumps can raise 2170 tonnes of water in 10 days, working 7 hours a day; in how many days will 16 pumps raise 1736 tonnes of water, working 9 hours a day?","6","7","8","9","b","Difficult","Ratio and Proportion"
38,"Three partners A, B, C invested Rs. 1500, Rs. 1200 and Rs. 1800 respectively in a business. If the profit is Rs. 900, what is the share of B?","Rs. 240","Rs. 270","Rs. 300","Rs. 360","a","Easy","Ratio and Proportion"
39,"The ratio of copper and zinc in an alloy is 5:3. If the weight of copper in the alloy is 30.5 g, find the weight of zinc.","18.3 g","19.5 g","20.1 g","21.3 g","a","Easy","Ratio and Proportion"
40,"What is the duplicate ratio of 2 : 3?","4 : 6","4 : 9","8 : 27","1 : 1.5","b","Very easy","Ratio and Proportion"
41,"The sides of a triangle are in the ratio 1/2 : 1/3 : 1/4 and its perimeter is 104 cm. The length of the longest side is:","52 cm","48 cm","32 cm","26 cm","b","Moderate","Ratio and Proportion"
42,"The ratio between two numbers is 3 : 4 and their L.C.M. is 180. The first number is:","30","35","40","45","d","Easy","Ratio and Proportion"
43,"In a school, 10% of the boys are same in number as 1/4th of the girls. What is the ratio of boys to girls in that school?","3 : 2","5 : 2","1 : 2","4 : 3","b","Moderate","Ratio and Proportion"
44,"Gold is 19 times as heavy as water and copper is 9 times as heavy as water. In what ratio should these be mixed to get an alloy 15 times as heavy as water?","1 : 1","2 : 3","1 : 2","3 : 2","d","Difficult","Ratio and Proportion"
45,"If A : B : C = 2 : 3 : 4, then A/B : B/C : C/A is equal to:","4 : 9 : 16","8 : 9 : 12","8 : 9 : 16","8 : 9 : 24","d","Moderate","Ratio and Proportion"
46,"If 10% of x is the same as 20% of y, then x : y is:","1 : 2","2 : 1","5 : 1","1 : 5","b","Very easy","Ratio and Proportion"
47,"The sum of the ages of a father and his son is 100 years now. 5 years ago, their ages were in the ratio of 2 : 1. The ratio of the ages of father and son after 10 years will be:","5 : 3","4 : 3","10 : 7","3 : 5","a","Moderate","Ratio and Proportion"
48,"A, B and C subscribe Rs. 50,000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs. 35,000, A receives:","Rs. 8400","Rs. 11,900","Rs. 13,600","Rs. 14,700","d","Difficult","Ratio and Proportion"
49,"A started a business with Rs. 21,000 and is joined afterwards by B with Rs. 36,000. After how many months did B join if the profits at the end of the year are divided equally?","3","4","5","7","d","Moderate","Ratio and Proportion"
50,"If a carton containing a dozen mirrors is dropped, which of the following cannot be the ratio of broken mirrors to unbroken mirrors?","2 : 1","3 : 1","3 : 2","7 : 5","c","Easy","Ratio and Proportion"
