id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
29,"A bicycle is sold for Rs. 3600 at a loss of 10%. For what amount should it be sold to gain 15%?","Rs. 4200","Rs. 4400","Rs. 4600","Rs. 4800","c","Easy","Profit and Loss"
30,"The cost price of a radio is Rs. 1500. It was sold at a loss of 23%. Find the loss.","Rs. 300","Rs. 325","Rs. 345","Rs. 365","c","Very easy","Profit and Loss"
31,"A shopkeeper sold an article for Rs. 2500. If the cost price of the article is Rs. 2000, find the profit percent.","20%","25%","30%","15%","b","Very easy","Profit and Loss"
32,"By selling 100 notebooks, a shopkeeper gains the selling price of 20 notebooks. His gain percent is:","20%","22%","25%","28%","c","Moderate","Profit and Loss"
33,"A man buys an article for 10% less than its value and sells it for 10% more than its value. His gain or loss percent is:","20% loss","21% gain","22.22% gain","No profit, no loss","c","Moderate","Profit and Loss"
34,"A man sold an article at a loss of 20%. If he had sold it for Rs. 12 more, he would have gained 10%. The cost price of the article is:","Rs. 30","Rs. 35","Rs. 40","Rs. 45","c","Moderate","Profit and Loss"
35,"A person sells 3/4th of his goods at a profit of 20% and the rest at cost price. What is the gain earned by him in the whole transaction?","12%","15%","18%","20%","b","Moderate","Profit and Loss"
36,"A dealer sold a machine for Rs. 7500 at a loss of 10%. What would be his profit percentage if he sold it for Rs. 9000?","5%","8%","10%","12%","b","Moderate","Profit and Loss"
37,"The percentage profit earned on an article is the same as its cost price in rupees. If the selling price is Rs. 96, what is the cost price?","Rs. 50","Rs. 60","Rs. 70","Rs. 80","b","Difficult","Profit and Loss"
38,"A shopkeeper mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of another variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:","5%","8%","10%","No profit, no loss","a","Moderate","Profit and Loss"
39,"A milkman buys milk at Rs. 24 per litre, adds 1/3 of water to it, and sells the mixture at Rs. 28 per litre. What is his gain percent?","45%","50%","55.55%","60%","c","Difficult","Profit and Loss"
40,"An article is sold at a certain price. If it were sold at 80% of that price, there would be a loss of 10%. What is the profit percentage when the article is sold at the original selling price?","10%","12.5%","15%","17.5%","b","Difficult","Profit and Loss"
41,"A reduction of 20% in the price of sugar enables a purchaser to obtain 3 kg more for Rs. 120. The original price of sugar per kg was:","Rs. 8","Rs. 9","Rs. 10","Rs. 12","c","Difficult","Profit and Loss"
42,"A shopkeeper sells a table at a profit of 20%. If he had bought it at 10% less cost and sold for Rs. 105 more, he would have gained 35%. The cost price of the table is:","Rs. 6000","Rs. 6500","Rs. 7000","Rs. 7500","c","Difficult","Profit and Loss"
43,"A man buys two chairs for a total cost of Rs. 900. By selling one for 4/5 of its cost and the other for 5/4 of its cost, he makes a profit of Rs. 90 on the whole transaction. The cost of the low-priced chair is:","Rs. 300","Rs. 350","Rs. 400","Rs. 450","a","Difficult","Profit and Loss"
44,"A shopkeeper allows a discount of 10% on the marked price of an item but charges a sales tax of 8% on the discounted price. If the customer pays Rs. 680.40 as the price including the sales tax, then what is the marked price of the item?","Rs. 630","Rs. 700","Rs. 740","Rs. 780","b","Difficult","Profit and Loss"
45,"If goods be purchased for Rs. 450 and one-third be sold at a loss of 10%, at what gain percent should the remainder be sold so as to gain 20% on the whole transaction?","30%","32%","35%","38%","c","Difficult","Profit and Loss"
46,"A manufacturer sells an item to a wholesale dealer at a profit of 18%. The wholesaler sells the same to a retailer at a profit of 20%. The retailer in turn sells it to a customer for Rs. 30,090 at a profit of 25%. The cost price of the manufacturer is:","Rs. 15,000","Rs. 17,000","Rs. 20,000","Rs. 22,000","b","Difficult","Profit and Loss"
47,"An article passing through two hands is sold at a profit of 38% at the original cost price. If the first dealer makes a profit of 15%, what is the profit percent made by the second?","18%","20%","23%","25%","b","Difficult","Profit and Loss"
48,"A cloth merchant says that due to a slump in the market, he sells the cloth at 10% loss, but he uses a false meter scale and actually gains 15%. Find the actual length of the scale.","80 cm","82.5 cm","85 cm","87.5 cm","b","Difficult","Profit and Loss"
49,"A person bought some articles at the rate of 5 per rupee and the same number at the rate of 4 per rupee. He mixed both the types and sold at the rate of 9 for 2 rupees. In this business he suffered a loss of Rs. 3. The total number of articles bought by him was:","500","520","540","560","c","Difficult","Profit and Loss"
50,"A shopkeeper purchased a table marked at Rs. 200 at successive discounts of 10% and 15% respectively. He spent Rs. 7 on transportation and sold the table for Rs. 208. Find his profit percent.","25%","30%","32%","35%","b","Moderate","Profit and Loss"
